,S.CBT_open,S.CBT_high,S.CBT_low,S.CBT_close,C.CBT_open,C.CBT_high,C.CBT_low,C.CBT_close,CF.CZC_open,CF.CZC_high,CF.CZC_low,CF.CZC_close,SR.CZC_open,SR.CZC_high,SR.CZC_low,SR.CZC_close,RM.CZC_open,RM.CZC_high,RM.CZC_low,RM.CZC_close,LH.DCE_open,LH.DCE_high,LH.DCE_low,LH.DCE_close,C.DCE_open,C.DCE_high,C.DCE_low,C.DCE_close,M.DCE_open,M.DCE_high,M.DCE_low,M.DCE_close,JD.DCE_open,JD.DCE_high,JD.DCE_low,JD.DCE_close
2013-01-04,1387.25,1397.25,1356.0,1367.25,688.0,692.2,680.2,683.0,18940.0,19060.0,18910.0,19045.0,5542.0,5583.0,5538.0,5564.0,2322.0,2380.0,2316.0,2370.0,,,,,2433.0,2450.0,2432.0,2446.0,3240.0,3257.0,3220.0,3248.0,,,,
2013-01-07,1367.0,1389.5,1357.0,1388.5,680.5,690.0,678.0,685.5,19010.0,19250.0,19000.0,19225.0,5616.0,5682.0,5602.0,5659.0,2365.0,2457.0,2360.0,2455.0,,,,,2443.0,2449.0,2442.0,2445.0,3215.0,3285.0,3206.0,3267.0,,,,
2013-01-08,1388.0,1393.75,1376.5,1386.5,685.5,694.5,683.75,688.75,19250.0,19295.0,19190.0,19225.0,5679.0,5715.0,5662.0,5704.0,2470.0,2500.0,2438.0,2480.0,,,,,2448.0,2459.0,2443.0,2456.0,3279.0,3303.0,3260.0,3291.0,,,,
2013-01-09,1385.25,1393.0,1380.0,1385.5,688.0,696.0,686.4,694.6,19240.0,19370.0,19200.0,19260.0,5689.0,5693.0,5638.0,5647.0,2488.0,2514.0,2472.0,2478.0,,,,,2458.0,2465.0,2441.0,2444.0,3296.0,3325.0,3270.0,3272.0,,,,
2013-01-10,1385.5,1394.75,1376.25,1379.75,694.75,700.5,694.5,698.25,19260.0,19295.0,19210.0,19265.0,5680.0,5680.0,5651.0,5659.0,2473.0,2490.0,2459.0,2462.0,,,,,2446.0,2448.0,2439.0,2445.0,3275.0,3295.0,3258.0,3268.0,,,,
2013-01-11,1378.0,1381.75,1351.5,1373.25,698.5,723.75,686.25,708.75,19290.0,19330.0,19260.0,19320.0,5666.0,5668.0,5578.0,5587.0,2465.0,2525.0,2463.0,2509.0,,,,,2444.0,2447.0,2438.0,2438.0,3268.0,3281.0,3247.0,3258.0,,,,
2013-01-14,1377.0,1423.0,1376.5,1418.0,713.75,726.75,713.0,724.0,19355.0,19435.0,19330.0,19380.0,5594.0,5604.0,5559.0,5578.0,2527.0,2548.0,2505.0,2541.0,,,,,2441.0,2445.0,2429.0,2434.0,3302.0,3365.0,3302.0,3361.0,,,,
2013-01-15,1416.75,1436.25,1408.0,1413.5,723.4,734.4,722.0,729.4,19380.0,19515.0,19340.0,19395.0,5571.0,5574.0,5504.0,5541.0,2549.0,2618.0,2542.0,2562.0,,,,,2436.0,2439.0,2429.0,2434.0,3386.0,3396.0,3354.0,3368.0,,,,
2013-01-16,1413.0,1439.0,1412.25,1436.5,730.0,735.0,724.5,731.75,19440.0,19555.0,19420.0,19540.0,5529.0,5573.0,5526.0,5548.0,2565.0,2595.0,2542.0,2586.0,,,,,2432.0,2436.0,2431.0,2435.0,3376.0,3410.0,3358.0,3405.0,,,,
2013-01-17,1436.0,1448.0,1422.25,1430.25,731.25,734.0,722.5,724.5,19570.0,19590.0,19500.0,19550.0,5546.0,5548.0,5505.0,5512.0,2602.0,2612.0,2565.0,2571.0,,,,,2435.0,2437.0,2420.0,2431.0,3425.0,3433.0,3374.0,3381.0,,,,
