,J.DCE_open,J.DCE_high,J.DCE_low,J.DCE_close,J.DCE_volume,JM.DCE_open,JM.DCE_high,JM.DCE_low,JM.DCE_close,JM.DCE_volume,秦皇岛港:库存:煤炭
2013-01-01,,,,,,,,,,,617.7
2013-01-02,,,,,,,,,,,616.63
2013-01-03,,,,,,,,,,,612.14
2013-01-04,1835.0,1844.0,1805.0,1839.0,906888.0,,,,,,610.07
2013-01-05,,,,,,,,,,,606.52
2013-01-06,,,,,,,,,,,611.3
2013-01-07,1837.0,1854.0,1809.0,1816.0,1016276.0,,,,,,613.5
2013-01-08,1815.0,1845.0,1795.0,1833.0,1166254.0,,,,,,618.75
2013-01-09,1834.0,1837.0,1802.0,1813.0,1023590.0,,,,,,629.91
2013-01-10,1816.0,1822.0,1799.0,1809.0,916750.0,,,,,,626.74
2013-01-11,1815.0,1817.0,1759.0,1763.0,1067364.0,,,,,,632.36
2013-01-12,,,,,,,,,,,681.6
2013-01-13,,,,,,,,,,,650.52
2013-01-14,1765.0,1855.0,1756.0,1826.0,1515978.0,,,,,,671.57
2013-01-15,1825.0,1832.0,1799.0,1808.0,1105384.0,,,,,,667.0
2013-01-16,1805.0,1810.0,1763.0,1787.0,1193316.0,,,,,,672.7
2013-01-17,1792.0,1820.0,1773.0,1818.0,1111024.0,,,,,,671.5
2013-01-18,1838.0,1865.0,1816.0,1865.0,1476788.0,,,,,,667.3
2013-01-19,,,,,,,,,,,681.09
2013-01-20,,,,,,,,,,,687.22
2013-01-21,1870.0,1896.0,1855.0,1864.0,1283254.0,,,,,,670.0
2013-01-22,1865.0,1878.0,1841.0,1871.0,1361254.0,,,,,,665.0
2013-01-23,1872.0,1888.0,1861.0,1881.0,1034876.0,,,,,,672.5
2013-01-24,1877.0,1879.0,1846.0,1865.0,1271828.0,,,,,,687.28
2013-01-25,1865.0,1882.0,1861.0,1872.0,892776.0,,,,,,676.7
2013-01-26,,,,,,,,,,,673.71
2013-01-27,,,,,,,,,,,675.2
2013-01-28,1871.0,1877.0,1859.0,1869.0,587890.0,,,,,,680.91
2013-01-29,1868.0,1894.0,1864.0,1886.0,833934.0,,,,,,733.07
2013-01-30,1889.0,1907.0,1882.0,1885.0,678416.0,,,,,,714.9
2013-01-31,1885.0,1903.0,1879.0,1902.0,581438.0,,,,,,740.22
2013-02-01,1905.0,1910.0,1893.0,1904.0,653762.0,,,,,,795.86
2013-02-02,,,,,,,,,,,804.86
2013-02-03,,,,,,,,,,,789.06
2013-02-04,1909.0,1931.0,1908.0,1920.0,481356.0,,,,,,786.8
2013-02-05,1914.0,1923.0,1903.0,1912.0,382066.0,,,,,,773.0
2013-02-06,1915.0,1918.0,1896.0,1908.0,173686.0,,,,,,766.42
2013-02-07,2062.0,2062.0,2005.0,2038.0,655982.0,,,,,,750.96
2013-02-08,2032.0,2038.0,2014.0,2023.0,313006.0,,,,,,735.66
2013-02-09,,,,,,,,,,,723.66
2013-02-10,,,,,,,,,,,735.66
2013-02-11,,,,,,,,,,,724.46
2013-02-12,,,,,,,,,,,718.21
2013-02-13,,,,,,,,,,,724.21
2013-02-14,,,,,,,,,,,713.89
2013-02-15,,,,,,,,,,,721.19
2013-02-16,,,,,,,,,,,727.01
2013-02-17,,,,,,,,,,,742.01
